Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date,lat,lng,lga,city,state_std,postcode,country,formatted_address,query_used
BEBGWA14,Westpork (Moora),WA,6507,0.63,Agricultural Waste,2024-12-10,2025-05-21,-30.4974591,115.8798905,Dandaragan,Shire of Dandaragan,Western Australia,6507.0,Australia,"Dandaragan WA 6507, Australia","Westpork (Moora), Western Australia, Australia"
SRPXQLJ0,Across The Waves Sports Club Bundaberg,QLD,4670,0.45,Solar,2025-04-30,2025-05-22,-24.890253,152.3469848,Norville,Bundaberg Regional,Queensland,4670.0,Australia,"1 Miller St, Norville QLD 4670, Australia","Across The Waves Sports Club Bundaberg, Queensland, Australia"
SRPXQLJ3,HomeCo Toowoomba,QLD,4350,0.14,Solar,2025-05-01,2025-05-22,-27.5979538,151.9504709,Kearneys Spring,Toowoomba Regional,Queensland,4350.0,Australia,"471 Hume St, Kearneys Spring QLD 4350, Australia","HomeCo Toowoomba, Queensland, Australia"
SRPXQLJ5,HomeCo Upper Coomera,QLD,4209,0.23,Solar,2025-05-14,2025-05-22,-27.8495154,153.301637,Upper Coomera,City of Gold Coast,Queensland,4209.0,Australia,"1 Commercial St, Upper Coomera QLD 4209, Australia","HomeCo Upper Coomera, Queensland, Australia"
SRPXVCR1,PLASTIC SOLUTIONS,VIC,3179,0.359,Solar,2025-04-22,2025-05-26,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","PLASTIC SOLUTIONS, Victoria, Australia"
WD00QL09,Clarke Creek Wind Farm,QLD,4705,450.0,Wind,2025-01-07,2025-05-28,-22.8504461,149.4532524,Clarke Creek,Livingstone Shire,Queensland,4705.0,Australia,"Clarke Creek QLD 4705, Australia","Clarke Creek Wind Farm, Queensland, Australia"
SRPXQLJ1,Big Dog Pet Foods,QLD,4504,0.662,Solar,2025-04-30,2025-05-29,-27.1955182,152.9994427,Narangba,City of Moreton Bay,Queensland,4504.0,Australia,"106 Potassium St, Narangba QLD 4504, Australia","Big Dog Pet Foods, Queensland, Australia"
SRPXQLI4,Doomadgee Solar Farm Stage 2,QLD,4830,0.304,Solar,2025-03-17,2025-05-29,-17.9399667,138.8292283,Doomadgee,Doomadgee Aboriginal Shire,Queensland,4830.0,Australia,"Doomadgee QLD 4830, Australia","Doomadgee Solar Farm Stage 2, Queensland, Australia"
SRPXVCP6,MOKOAN SOLAR FARM,VIC,3673,57.803,Solar,2025-02-25,2025-05-29,-36.4875195,146.1226338,Winton,Benalla Rural City,Victoria,3673.0,Australia,"Lee Rd, Winton VIC 3673, Australia","MOKOAN SOLAR FARM, Victoria, Australia"
SRPXQLJ7,Plainland,QLD,4341,0.428,Solar,2025-05-08,2025-05-29,-27.5679729,152.4220619,Plainland,Lockyer Valley Regional,Queensland,4341.0,Australia,"Plainland QLD 4341, Australia","Plainland, Queensland, Australia"
SRPXQLJ6,Homeco Tingalpa,QLD,4173,0.204,Solar,2025-05-14,2025-05-30,-27.4772349,153.1397085,Tingalpa,Brisbane City,Queensland,4173.0,Australia,"261 New Cleveland Rd, Tingalpa QLD 4173, Australia","Homeco Tingalpa, Queensland, Australia"
SRPVNT81,Palmerston Golf & Country Club,NT,830,0.2,Solar,2025-03-21,2025-05-30,-12.4803879,130.9758522,Palmerston City,Palmerston Municipality,Northern Territory,830.0,Australia,"University Ave &, Dwyer Cct, Palmerston City NT 0830, Australia","Palmerston Golf & Country Club, Northern Territory, Australia"
SRPVSAZ6,Tip Top Dry Creek,SA,5094,0.918,Solar,2025-04-10,2025-05-30,-34.840884,138.5914251,Dry Creek,City of Port Adelaide Enfield,South Australia,5094.0,Australia,"29/43 Gum Ave, Dry Creek SA 5094, Australia","Tip Top Dry Creek, South Australia, Australia"
SRPXSA02,Woolworths Kingston 7003,TAS,7050,0.338,Solar,2025-05-26,2025-06-03,-42.9757956,147.3078991,Kingston,,Tasmania,7050.0,Australia,"Kingston TAS 7050, Australia","Woolworths Kingston 7003, Tasmania, Australia"
SRPXQLK0,Americold Hemmant 2,QLD,4174,0.311,Solar,2025-05-22,2025-06-10,-27.4445601,153.1170123,Hemmant,Brisbane City,Queensland,4174.0,Australia,"1217 Lytton Rd, Hemmant QLD 4174, Australia","Americold Hemmant 2, Queensland, Australia"
SRPXQLI5,Brisbane Lions,QLD,4300,0.799,Solar,2025-04-14,2025-06-10,-27.4704528,153.0260341,Brisbane,,Queensland,,Australia,"Brisbane QLD, Australia","Brisbane Lions, Queensland, Australia"
SRPXQLK1,Cairns Aquarium,QLD,4870,0.4,Solar,2025-05-26,2025-06-10,-16.9184171,145.7738313,Cairns City,Cairns Regional,Queensland,4870.0,Australia,"5 Florence St, Cairns City QLD 4870, Australia","Cairns Aquarium, Queensland, Australia"
SRPYNSB3,Clean Peak Energy,NSW,2830,0.37,Solar,2025-05-19,2025-06-10,-33.8363771,151.2077989,North Sydney,North Sydney Council,New South Wales,2060.0,Australia,"21/201 Miller St, North Sydney NSW 2060, Australia","Clean Peak Energy, New South Wales, Australia"
